Ingredient,Effects
" ACACIA, GUM (ACACIA SENEGAL (L.) WILLD.)"," EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FORMULATION AID, PROCESSING AID, PROPELLANT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, TEXTURIZER"
 ACAI BERRY EXTRACT, FLAVORING AGENT OR ADJUVANT
 ACESULFAME POTASSIUM, NON-NUTRITIVE SWEETENER
 ACETAL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ACETALDEHYDE, FLAVORING AGENT OR ADJUVANT
" ACETALDEHYDE, BUTYL PHENETHYL ACETAL", FLAVORING AGENT OR ADJUVANT
 ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL, FLAVORING AGENT OR ADJUVANT
 ACETALDEHYDE DIISOAMYL ACETAL, FLAVORING AGENT OR ADJUVANT
 ACETALDEHYDE DI-ISOBUTYLACETAL, FLAVORING AGENT OR ADJUVANT
 ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL, FLAVORING AGENT OR ADJUVANT
 ACETALDEHYDE ETHYL ISOBUTYL ACETAL, FLAVORING AGENT OR ADJUVANT
 (+/-)-ACETALDEHYDE ETHYL ISOPROPYL ACETAL, FLAVORING AGENT OR ADJUVANT
 ACETALDEHYDE HEXYL ISOAMYL ACETAL, FLAVORING AGENT OR ADJUVANT
" ACETALDEHYDE 1,3-OCTANEDIOL ACETAL", FLAVORING AGENT OR ADJUVANT
 ACETALDEHYDE PHENETHYL PROPYL ACETAL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ACETAMIDE--NLFG, FLAVORING AGENT OR ADJUVANT
 ACETANISOLE, FLAVORING AGENT OR ADJUVANT
 ACETIC ACID," ANTIMICROBIAL AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT"
 ACETIC ANHYDRIDE, FLAVORING AGENT OR ADJUVANT
 ACETOIN, FLAVORING AGENT OR ADJUVANT
 ACETOIN PROPYLENEGLYCOL KETAL, FLAVORING AGENT OR ADJUVANT
 ALPHA-ACETOLACTATE DECARBOXYLASE ENZYME PREPARATION FROM BACILLUS SUBTILIS RECOMBINANT, ENZYME
 ACETOLEIN,Not Available
 ACETONE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE, WASHING OR SURFACE REMOVAL AGENT"
 ACETONE PEROXIDES,Not Available
 ACETOPHENONE," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 ACETOSTEARIN,Not Available
 6-ACETOXYDIHYDROTHEASPIRANE, FLAVORING AGENT OR ADJUVANT
" 4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE", FLAVORING AGENT OR ADJUVANT
 (+/-)-1-ACETOXY-1-ETHOXYETHANE, FLAVORING AGENT OR ADJUVANT
 4-(P-ACETOXYPHENYL)-2-BUTANONE, FLAVORING AGENT OR ADJUVANT
" 5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE", FLAVORING AGENT OR ADJUVANT
" 2-ACETYL-3,5-DIMETHYLFURAN", FLAVORING AGENT OR ADJUVANT
" 3-ACETYL-2,5-DIMETHYLFURAN", FLAVORING AGENT OR ADJUVANT
" 4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE", FLAVORING AGENT OR ADJUVANT
" 2-ACETYL-3, 5(OR 6)-DIMETHYLPYRAZINE, MIXTURE OF ISOMERS"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-ACETYL-3-ETHYLPYRAZINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-ACETYL-4-ISOPROPENYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 4-ACETYL-2-ISOPROPENYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
