Ingredient,Nutrition,HealthBenefits,HealthRisks,DiseaseConcerned,HealthinessScore
wheat flour (refined),Enriched Vit B,0,May increase risk of chronic diseases,"Celiac, gluten sensitivity",3
rice flour,Gluten-free,Suitable for gluten intolerance,0,High GI concerns,5
gram flour (besan),"Rich in fiber, Mg","Promotes heart health, glycemic control",0,Legume allergies,8
corn flour,Antioxidants,Supports eye health,0,GMO concerns for some varieties,6
refined flour (maida),0,0,"May contribute to obesity, type 2 diabetes",None,2
semolina (sooji),Vit B,Supports heart and digestive health,0,Gluten sensitivity,6
whole wheat flour,High in fiber,"Reduces risk of heart disease, supports digestive health",0,"Celiac disease, gluten sensitivity",7
potato flakes,"Vit C, B6","Quick energy source, supports heart health",0,None,7
tapioca starch,Gluten-free,Gluten-free alternative,0,None,4
chickpea flour,High fiber,"Promotes fullness, supports blood sugar control",0,Legume allergies,9
lentil flour,Rich in fiber,"Supports heart health, blood sugar control",0,Legume allergies,9
rice,"Vit B, Mg, Iron","Provides energy, supports nervous system",0,None,5
cornmeal,"Vit B, Fiber","Supports digestion, heart health",0,GMO concerns,6
oats,High fiber,"Lowers cholesterol, supports heart health",0,Gluten cross-contamination,8
barley,Fiber,"Improves digestion, reduces heart disease risk",0,Gluten sensitivity,7
quinoa,Complete protein,"Supports metabolism, gluten-free",0,None,9
millet,Antioxidants,"Supports heart health, gluten-free",0,None,7
sorghum (jowar),"Antioxidants, Fiber","Supports blood sugar control, gluten-free",0,None,8
pearl millet (bajra),High in iron,"Improves digestion, energy booster",0,None,7
finger millet (ragi),"Calcium, Iron","Strengthens bones, diabetes management",0,None,9
edible vegetable oil,Vit E,0,High in calories; overconsumption risk,"Obesity, heart disease",5
palm oil,Vit E,0,High saturated fat content,Heart disease,4
sunflower oil,Vit E,Supports heart health,0,None,7
canola oil,Low in saturated fats,Supports heart health,0,None,7
olive oil,Monounsaturated fats,Reduces heart disease risk,0,None,9
coconut oil,Medium-chain triglycerides,0,High in saturated fat,Heart disease,5
mustard oil,Omega-3,0,Erucic acid concerns,None,6
ghee (clarified butter),"Vit A, E",Supports digestive health,0,None,6
butter,0,0,High in saturated fat,Heart disease,4
margarine,0,0,Trans fats in some types,Heart disease,5
sugar,0,0,"Risk of obesity, diabetes","Diabetes, obesity",2
salt,0,0,High blood pressure risk,Hypertension,3
Turmeric,Curcumin,"Anti-inflammatory, antioxidant properties",0,None,9
chili powder,Capsaicin,Metabolism boost,0,None,7
black pepper,Piperine,Digestive benefits,0,None,8
ajwain (carom seeds),Thymol,Digestive aid,0,None,8
sesame seeds,"Calcium, magnesium",Supports bone health,0,None,7
flax seeds,Omega-3 fatty acids,"Supports heart health, digestive health",0,None,9
sunflower seeds,Vit E,Supports heart health,0,None,7
poppy seeds,"Calcium, iron","Pain relief, calcium boost",0,None,7
mustard seeds,Selenium,Anti-inflammatory,0,None,8
fennel seeds,Fiber,Digestive aid,0,None,8
fenugreek seeds,Fiber,Blood sugar control,0,None,8
cardamom,Essential minerals,Digestive health,0,None,8
cinnamon,Antioxidants,Blood sugar control,0,None,9
cloves,Eugenol,Antimicrobial,0,None,8
nutmeg,0,"Pain relief, digestion aid",0,None,7
mace,0,"Digestive aid, pain relief",0,None,7
bay leaves,0,Anti-inflammatory,0,None,8
